Origin,FP,Project Name,Date Approved,Resource Group,Total Project,Prior Year Total,2024 Total,2025 Total,2026 Total,2027 Total,2028 Total,2029 Total,1/1/2024,2/1/2024,3/1/2024,4/1/2024,5/1/2024,6/1/2024,7/1/2024,8/1/2024,9/1/2024,10/1/2024,11/1/2024,12/1/2024,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025,1/1/2026,2/1/2026,3/1/2026,4/1/2026,5/1/2026,6/1/2026,7/1/2026,8/1/2026,9/1/2026,10/1/2026,11/1/2026,12/1/2026,1/1/2027,2/1/2027,3/1/2027,4/1/2027,5/1/2027,6/1/2027,7/1/2027,8/1/2027,9/1/2027,10/1/2027,11/1/2027,12/1/2027,1/1/2028,2/1/2028,3/1/2028,4/1/2028,5/1/2028,6/1/2028,7/1/2028,8/1/2028,9/1/2028,10/1/2028,11/1/2028,12/1/2028,1/1/2029,2/1/2029,3/1/2029,4/1/2029,5/1/2029,6/1/2029,7/1/2029,8/1/2029,9/1/2029,10/1/2029,11/1/2029,12/1/2029,RC Type,Labor Category,Project ID,Controller,PM,PgM,Source.Name.1,Year
FPSetupForm,F1PPIID669,Server Refresh Program - 2024,10/27/2023,003 - Base Payroll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2024_FP_Setup_Form_Initiate ACD,2024
FPSetupForm,F1PPIID669,Server Refresh Program - 2024,10/27/2023,256 - Computer Software Acquisitions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2024_FP_Setup_Form_Initiate ACD,2024
FPSetupForm,F1PPIID669,Server Refresh Program - 2024,10/27/2023,028 - Other Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2024_FP_Setup_Form_Initiate ACD,2024
FPSetupForm,F1PPIID669,Server Refresh Program - 2024,10/27/2023,599 - Contingency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2024_FP_Setup_Form_Initiate ACD,2024
FPSetupForm,F1PPIID670,PeopleSoft PUM Upgrade Program,10/27/2023,257 - Computer Hardware Acquisitions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2024_FP_Setup_Form_Initiate ACD,2024
FPSetupForm,F1PPIID670,PeopleSoft PUM Upgrade Program,10/27/2023,256 - Computer Software Acquisitions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2024_FP_Setup_Form_Initiate ACD,2024
FPSetupForm,F1PPIID670,PeopleSoft PUM Upgrade Program,10/27/2023,028 - Other Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2024_FP_Setup_Form_Initiate ACD,2024
FPSetupForm,F1PPIID671,Middleware Upgrade Program - 2024,10/27/2023,249 - Other Outside Contract Service,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2024_FP_Setup_Form_Initiate ACD,2024
FPSetupForm,F1PPIID671,Middleware Upgrade Program - 2024,10/27/2023,003 - Base Payroll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2024_FP_Setup_Form_Initiate ACD,2024
FPSetupForm,F1PPIID671,Middleware Upgrade Program - 2024,10/27/2023,257 - Computer Hardware Acquisitions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2024_FP_Setup_Form_Initiate ACD,2024
